fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o,COI Score
109,14,Ashland,1,1,85.0623965152113,1,11835,5825,6010,3286,7375,1174,9850,254,6,917,0,142,178,488,3310,1134,853,895,320,77,31,846,644,175,19,4,1,3,0,5505.0,106.0,120.0,172.0,179.0,74.0,123.0,120.0,50.0,247.0,142.0,539.0,414.0,472.0,522.0,931.0,1294.0,6.379356561776853
110,139,Hopkinton,1,1,100.0,1,14820,7294,7526,4761,8936,1123,13585,122,8,654,0,28,159,264,3964,1120,937,1228,516,128,35,917,735,167,8,4,3,0,0,5991.0,121.0,91.0,68.0,8.0,49.0,75.0,79.0,149.0,158.0,226.0,315.0,460.0,500.0,411.0,904.0,2377.0,7.749162355405225
111,122,Hanover,1,1,100.0,1,13855,6763,7092,3875,8134,1846,13276,106,13,160,4,47,121,128,3736,1236,826,977,499,149,49,965,818,123,17,6,0,1,0,4882.0,122.0,92.0,161.0,158.0,45.0,39.0,118.0,131.0,75.0,252.0,342.0,480.0,529.0,553.0,625.0,1160.0,6.5639519495399545
112,142,Hull,1,1,81.2814264475629,1,8363,3976,4387,1551,5626,1186,7892,71,24,80,5,38,116,137,2201,1003,550,377,168,83,20,1347,1032,277,30,6,0,2,0,3801.0,146.0,107.0,205.0,199.0,131.0,170.0,55.0,41.0,73.0,285.0,295.0,387.0,483.0,318.0,370.0,536.0,5.13006552372633
113,155,Lexington,1,1,51.7782625815056,1,12243,5876,6367,3229,6814,2200,8311,237,12,3015,2,35,316,315,3445,1288,843,884,315,79,36,970,843,106,13,6,2,0,0,4940.0,176.0,87.0,112.0,98.0,48.0,101.0,102.0,73.0,83.0,102.0,90.0,324.0,584.0,349.0,608.0,2003.0,8.69601438878589
114,157,Lincoln,1,1,97.4919036334278,1,6026,2897,3129,1756,3351,919,4962,223,8,327,6,18,168,314,1705,675,381,394,182,57,16,503,433,65,4,0,1,0,0,2336.0,81.0,34.0,75.0,83.0,54.0,100.0,56.0,17.0,59.0,109.0,92.0,204.0,235.0,229.0,245.0,663.0,8.041346680181011
115,196,Nahant,1,1,100.0,1,3410,1638,1772,556,2124,730,3257,15,3,58,0,5,20,52,921,478,190,190,49,9,5,619,516,94,6,3,0,0,0,1572.0,9.0,64.0,20.0,59.0,37.0,26.0,90.0,113.0,45.0,142.0,89.0,191.0,69.0,159.0,231.0,228.0,5.518771900573815
116,163,Lynn,1,1,38.8049023782738,1,27619,13316,14303,6369,17771,3479,18533,1979,40,1052,9,120,615,5271,7009,2533,1687,1532,727,300,230,3066,2426,541,66,24,4,4,1,10088.0,367.0,427.0,410.0,339.0,393.0,347.0,283.0,512.0,382.0,591.0,1124.0,1467.0,1316.0,715.0,801.0,614.0,1.5870207379520538
117,305,Wakefield,1,1,1.35775662730308,1,622,307,315,149,395,78,571,6,1,18,0,0,15,11,171,66,39,38,17,7,4,48,36,8,3,0,1,0,0,612.0,11.0,0.0,20.0,34.0,0.0,0.0,22.0,20.0,11.0,21.0,139.0,82.0,47.0,40.0,99.0,66.0,7.2257577793054715
118,168,Marblehead,1,1,88.4360937594057,1,15236,7326,7910,4109,8613,2514,14554,70,6,150,1,21,150,284,4367,1793,1010,1014,436,94,20,1362,1183,159,16,4,0,0,0,6271.0,214.0,76.0,75.0,306.0,136.0,106.0,164.0,78.0,263.0,258.0,270.0,622.0,507.0,596.0,713.0,1887.0,8.93471492232562
119,333,Weston,1,1,99.2056108049385,1,11173,5340,5833,3144,6046,1983,9331,209,4,1101,0,34,205,289,2923,1116,557,692,402,126,30,806,728,72,4,1,1,0,0,3502.0,190.0,148.0,51.0,31.0,91.0,107.0,9.0,54.0,54.0,111.0,137.0,102.0,206.0,269.0,267.0,1675.0,9.516138363696957
120,174,Maynard,1,1,82.0906797437867,1,6748,3208,3540,1561,4192,995,6197,80,7,190,1,32,73,168,1844,761,453,419,151,45,15,875,726,136,4,8,1,0,0,3963.0,163.0,93.0,100.0,163.0,45.0,194.0,138.0,89.0,158.0,126.0,256.0,411.0,520.0,429.0,473.0,605.0,5.791294925910481
121,336,Weymouth,1,1,80.6151538801345,1,44535,21387,23148,9498,28258,6779,40467,704,46,1268,10,480,577,983,11673,4649,2825,2500,1140,399,160,5949,4846,951,89,40,15,2,6,20195.0,737.0,465.0,777.0,744.0,635.0,728.0,517.0,609.0,787.0,1356.0,2140.0,2598.0,2110.0,1859.0,2119.0,2014.0,5.645300011326419
122,243,Quincy,1,1,40.9768195693939,1,33136,15881,17255,6441,21634,5061,25195,604,42,6008,7,140,462,678,8488,3419,2014,1736,825,304,190,4431,3403,854,129,39,2,0,4,14253.0,474.0,475.0,340.0,534.0,447.0,385.0,365.0,502.0,424.0,882.0,1238.0,2268.0,1676.0,1105.0,1536.0,1602.0,4.792030430338744
123,176,Medford,1,1,53.1486772471564,1,21734,10395,11339,4119,13744,3871,18797,786,20,1025,2,162,332,610,5669,2241,1436,1183,555,176,78,2395,1749,490,93,50,10,2,1,8266.0,378.0,262.0,217.0,251.0,339.0,111.0,219.0,172.0,91.0,437.0,373.0,1008.0,776.0,755.0,1266.0,1611.0,4.7955157583373325
124,231,Pembroke,1,1,96.3995633123408,1,17608,8652,8956,4628,11026,1954,16919,105,24,162,3,43,160,192,4706,1595,1098,1218,556,171,68,1495,1192,269,22,8,1,2,1,6147.0,63.0,97.0,49.0,134.0,235.0,140.0,191.0,168.0,77.0,318.0,629.0,887.0,813.0,726.0,800.0,820.0,7.111257304704556
125,198,Natick,1,1,92.6628460685157,1,25544,12325,13219,6601,15090,3853,22530,402,14,1432,7,85,413,661,7002,2719,1614,1783,671,168,47,2683,2260,374,33,13,3,0,0,11704.0,271.0,134.0,426.0,319.0,358.0,277.0,215.0,208.0,290.0,372.0,733.0,1252.0,1160.0,973.0,1843.0,2873.0,7.749540777045674
